_id;PropertyID;PropType;taxkey;Address;CondoProject;District;nbhd;Style;Extwall;Stories;Year_Built;Rooms;FinishedSqft;Units;Bdrms;Fbath;Hbath;Lotsize;Sale_date;Sale_price
26;99119;Residential;330026000;9011 N 86TH ST;;9;40;Colonial;Aluminum/Vinyl;2,0;1978;6;1826;1;3;1;1;14948;2023-07-25;275000,00
27;99122;Residential;330029000;8981 N 86TH ST;;9;40;Colonial;Aluminum/Vinyl;2,0;1978;7;1828;1;4;1;2;19907;2023-02-13;275000,00
28;99170;Residential;330077000;9160 N JOYCE AV;;9;40;Duplex N/S;Aluminum/Vinyl;1;1980;12;2644;2;5;3;1;8790;2023-08-30;251000,00
29;99253;Residential;330220000;8640 W FAIRY CHASM DR;;9;40;Townhouse;Aluminum/Vinyl;2,0;1979;10;2482;2;6;2;2;7200;2023-09-11;250000,00
30;99311;Condominium;330293000;8429 W ALLYN CT;GRANVILLE HEIGHTS;9;5049;Low Rise 1-3 Stories;;1;1980;5;1018;1;2;1;0;1;2023-07-07;60000,00
31;99317;Condominium;330299000;9100 N 85TH ST;GRANVILLE HEIGHTS;9;5049;Low Rise 1-3 Stories;;1;1980;5;1018;1;2;1;0;1;2023-03-03;52500,00
32;99353;Condominium;340302000;8827 N 95TH ST, Unit b;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-06-20;56000,00
33;99386;Condominium;340335000;8848 N 95TH ST, Unit g;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-01-13;60000,00
34;99392;Condominium;340341000;8854 N 95TH ST, Unit c;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;10;1054;1;6;1;1;1;2023-06-16;52000,00
35;99408;Condominium;340357000;8860 N 95TH ST, Unit j;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-03-14;57000,00
36;99423;Condominium;340372000;8872 N 95TH ST, Unit d;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-11-20;46500,00
37;99427;Condominium;340376000;8872 N 95TH ST, Unit h;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-02-17;55000,00
38;99482;Condominium;340525000;8853 N SWAN RD, Unit g;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-01-26;43500,00
39;99484;Condominium;340527000;8859 N SWAN RD, Unit a;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;6;1249;1;4;1;1;1;2023-05-23;64000,00
40;99513;Condominium;340556000;8871 N SWAN RD, Unit k;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;6;1249;1;4;1;1;1;2023-11-30;53000,00
41;99522;Condominium;340565000;8877 N SWAN RD, Unit j;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-09-22;55000,00
42;99589;Condominium;340638000;9051 N 95TH ST, Unit b;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-01-25;45000,00
43;99589;Condominium;340638000;9051 N 95TH ST, Unit b;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-05-26;60000,00
44;99625;Condominium;340674000;9097 N 95TH ST, Unit f;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-09-21;39000,00
45;99644;Condominium;340693000;9086 N 95TH ST, Unit g;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-01-31;35000,00
46;99657;Condominium;340706000;9076 N 95TH ST, Unit K;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;6;1249;1;4;1;1;1;2023-05-26;65500,00
47;99661;Condominium;340710000;9070 N 95TH ST, Unit D;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-01-05;53900,00
48;99702;Condominium;340751000;9030 N 95TH ST, Unit e;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-02-21;60000,00
49;99712;Condominium;340761000;9020 N 95TH ST, Unit E;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-02-02;63500,00
50;99741;Condominium;340790000;8970 N 95TH ST, Unit f;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-11-19;57000,00
51;99752;Condominium;340801000;8950 N 95TH ST, Unit g;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-06-30;64000,00
52;99760;Condominium;340809000;8930 N 95TH ST, Unit g;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-04-17;35000,00
53;99846;Condominium;341037000;8931 N SWAN RD, Unit g;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-05-18;27000,00
54;99855;Condominium;341046000;8941 N SWAN RD, Unit f;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-02-06;51000,00
55;99864;Condominium;341055000;9001 N SWAN RD, Unit e;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-03-21;46000,00
56;99866;Condominium;341057000;9001 N SWAN RD, Unit G;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-11-19;57000,00
57;99871;Condominium;341062000;9001 N SWAN RD, Unit m;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;6;1249;1;4;1;1;1;2023-05-30;86000,00
58;99909;Condominium;341100000;9125 W ALLYN ST, Unit F;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-10-25;35000,00
59;99921;Condominium;341112000;9221 W ALLYN ST, Unit h;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-11-29;42000,00
60;99923;Condominium;341114000;9221 W ALLYN ST, Unit k;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;5;1054;1;3;1;1;1;2023-09-18;30000,00
61;99955;Condominium;341146000;9325 W ALLYN ST, Unit b;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;10;1054;1;6;1;1;1;2023-07-28;40000,00
62;99955;Condominium;341146000;9325 W ALLYN ST, Unit b;WOODLANDS;9;5060;Condo Townhouse;;2,5;1970;10;1054;1;6;1;1;1;2023-12-13;50700,00
63;99993;Residential;341217000;9125 N 94TH ST;;9;40;Colonial;Aluminum/Vinyl;2,0;2007;7;1624;1;3;2;1;7123;2023-12-06;196000,00
64;100099;Residential;379993000;9060 N 124TH ST;;9;40;Cape Cod;Aluminum/Vinyl;1;1947;6;1247;1;4;1;1;81893;2023-06-01;150000,00
65;100120;Residential;380087000;11524 W HEATHER DR;;9;240;Cape Cod;Fiber Cement/Hardiplank;1,5;2023;6;2862;1;3;3;0;13634;2023-08-31;37900,00
66;100127;Residential;380094000;11611 W HEATHER DR;;9;240;Cape Cod;Fiber Cement/Hardiplank;1,5;2021;8;2430;1;3;2;1;15280;2023-11-03;507250,00
67;100185;Condominium;390194000;10858 W DONNA DR;HIGHLANDS 2;9;5065;Low Rise 1-3 Stories;;1;1979;3;664;1;1;1;0;1;2023-03-07;45000,00
68;100235;Condominium;390244100;8579 N 107TH ST;HIGHLANDS 2;9;5065;Low Rise 1-3 Stories;;1;1979;4;872;1;2;1;1;1;2023-06-06;91000,00
69;100250;Condominium;390259000;8513 N 107TH ST;HIGHLANDS 2;9;5065;Low Rise 1-3 Stories;;1;1979;3;678;1;1;1;0;1;2023-09-07;69000,00
70;100315;Residential;400003000;10611-10613 W WABASH AV;;9;240;Townhouse;Aluminum/Vinyl;2,0;1971;10;2441;2;6;2;2;6284;2023-01-20;228000,00
71;100317;Residential;400005000;10601-10603 W WABASH AV;;9;240;Townhouse;Aluminum/Vinyl;2,0;1971;10;2441;2;6;2;2;6000;2023-06-30;250000,00
72;100321;Lg Apartment;400009000;8544 N 106TH ST;;9;6610;AP1 (Conventional Apt with 4-6 Units);Masonary Frame;2,0;1971;NULL;3700;4;NULL;0;0;11262;2023-06-05;303300,00
73;100342;Residential;400032000;8548-8550 N 107TH ST;;9;240;Townhouse;Aluminum/Vinyl;2,0;1970;10;2423;2;6;2;2;6175;2023-02-06;265000,00
74;100368;Lg Apartment;400133000;8633 N GRANVILLE RD;;9;6610;AP1 (Conventional Apt with 4-6 Units);Brick;2,0;1973;NULL;4936;5;NULL;0;0;13059;2023-08-03;455000,00
75;100549;Residential;409969000;8627 N GRANVILLE RD;;9;240;Cottage;Aluminum/Vinyl;1;1938;5;711;1;2;1;0;7500;2023-11-15;129800,00
76;100567;Residential;409978400;8429 N GRANVILLE RD, Unit 281;;9;240;Dplx Bungalow;Aluminum/Vinyl;1,5;1926;9;2103;2;3;2;0;15536;2023-12-19;205000,00
77;100571;Residential;409985100;8572 N GRANVILLE RD;;9;240;Milwaukee Bungalow;Wood;1;1924;7;1328;1;3;1;0;75794;2023-10-03;209900,00
78;100625;Manufacturing;420112000;8440 N 87TH ST;;9;6300;Not Listed (Exm or Mfg);;;NULL;NULL;NULL;0;NULL;0;0;0;2023-10-04;8000000,00
79;100651;Condominium;430184000;8605 N SERVITE DR, Unit 107;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;5;1024;1;2;2;0;1;2023-01-20;76000,00
80;100652;Condominium;430185000;8605 N SERVITE DR, Unit 108;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;4;1040;1;2;2;0;1;2023-07-27;110000,00
81;100661;Condominium;430194000;8607 N SERVITE DR, Unit 117;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;5;1024;1;2;2;0;1;2023-02-20;68000,00
82;100665;Condominium;430198000;8605 N SERVITE DR, Unit 203;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;4;1040;1;2;2;0;1;2023-08-28;75000,00
83;100681;Condominium;430214000;8547 N SERVITE DR, Unit 101;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;2,0;1974;6;1496;1;2;1;1;1;2023-09-05;90000,00
84;100682;Condominium;430215000;8549 N SERVITE DR, Unit 102;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;5;1056;1;2;1;1;1;2023-02-10;62100,00
85;100702;Condominium;430235000;8549 N SERVITE DR, Unit 204;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;10;1024;1;4;2;0;1;2023-02-22;68000,00
86;100704;Condominium;430237000;8549 N SERVITE DR, Unit 206;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;4;1040;1;2;2;0;1;2023-03-30;74300,00
87;100715;Condominium;430248000;8551 N SERVITE DR, Unit 219;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;8;914;1;4;1;1;1;2023-03-08;65000,00
88;100729;Condominium;430262000;8619 N SERVITE DR, Unit 113;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;5;1056;1;2;1;1;1;2023-10-31;60800,00
89;100769;Condominium;430302000;8631 N SERVITE DR, Unit 117;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;4;1040;1;2;2;0;1;2023-08-04;65000,00
90;100773;Condominium;430306000;8629 N SERVITE DR, Unit 203;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;4;914;1;2;1;1;1;2023-07-21;63000,00
91;100777;Condominium;430310000;8629 N SERVITE DR, Unit 207;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;5;1024;1;2;2;0;1;2023-11-14;95000,00
92;100779;Condominium;430312000;8629 N SERVITE DR, Unit 209;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;5;1056;1;2;1;1;1;2023-08-15;60500,00
93;100781;Condominium;430314000;8631 N SERVITE DR, Unit 213;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;5;1056;1;2;1;1;1;2023-06-14;69000,00
94;100784;Condominium;430317000;8631 N SERVITE DR, Unit 216;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;5;1024;1;2;2;0;1;2023-04-13;68000,00
95;100801;Condominium;430334000;8643 N SERVITE DR, Unit 113;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;8;1056;1;4;1;1;1;2023-01-06;74000,00
96;100806;Condominium;430339000;8643 N SERVITE DR, Unit 118;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;10;1056;1;4;1;1;1;2023-10-25;80000,00
97;100820;Condominium;430353000;8643 N SERVITE DR, Unit 216;SERVITE WOODS (ATRIUM);9;5070;Low Rise 1-3 Stories;;1;1974;5;1024;1;2;2;0;1;2023-04-28;74900,00
98;100841;Condominium;430374000;8642 N SERVITE DR;SERVITE WOODS (TOWNHOUSES);9;5068;Condo Townhouse;;2,0;1974;5;1158;1;3;1;1;1;2023-10-18;109000,00
99;100855;Condominium;430388000;8622 N SERVITE DR;SERVITE WOODS (TOWNHOUSES);9;5068;Condo Townhouse;;2,0;1974;6;1436;1;3;1;1;1;2023-06-21;125000,00
100;100904;Condominium;430506000;7806 W HEATHER AV;SERVITE WOODS (TRILEVEL & BILEVEL);9;5069;Low Rise 1-3 Stories;;1,5;1978;5;1292;1;1;2;0;1;2023-04-28;119900,00
101;100965;Condominium;430567000;7861 W HEATHER AV;SERVITE WOODS (TRILEVEL & BILEVEL);9;5069;Low Rise 1-3 Stories;;1,5;1978;5;1292;1;1;2;0;1;2023-06-21;124000,00
102;101032;Condominium;430751000;8010 W MANOR CR;SERVITE MANOR;9;5073;Condo Townhouse;;2,0;1986;10;1182;1;4;1;1;1;2023-08-10;137000,00
103;101039;Condominium;430758000;8024 W MANOR CR;SERVITE MANOR;9;5073;Condo Ranch;;1;1986;4;1008;1;2;1;0;1;2023-04-21;80000,00
104;101039;Condominium;430758000;8024 W MANOR CR;SERVITE MANOR;9;5073;Condo Ranch;;1;1986;4;1008;1;2;1;0;1;2023-11-29;89500,00
105;101046;Condominium;430765000;8030 W MANOR CR;SERVITE MANOR;9;5073;Condo Townhouse;;2,0;1986;10;1152;1;4;1;1;1;2023-03-24;109000,00
106;101050;Condominium;430769000;8038 W MANOR CR;SERVITE MANOR;9;5073;Condo Townhouse;;2,0;1986;5;1152;1;2;1;1;1;2023-10-18;114900,00
107;101117;Condominium;440050000;8751 N 72ND ST, Unit 5;WHISPERING HILLS (WALK-UP);9;5080;Condo BI/TRI Level;;1;1972;4;955;1;2;1;1;1;2023-12-19;83000,00
108;101118;Condominium;440051000;8753 N 72ND ST, Unit 1;WHISPERING HILLS (WALK-UP);9;5080;Condo BI/TRI Level;;1;1972;3;788;1;1;1;0;1;2023-08-07;45000,00
109;101160;Condominium;440093100;8735 N 72ND ST, Unit 203;WHISPERING HILLS (ELEVATOR);9;5081;Low Rise 1-3 Stories;;1;1973;5;1127;1;2;2;0;1;2023-08-16;122000,00
110;101168;Condominium;440101000;8735 N 72ND ST, Unit 301;WHISPERING HILLS (ELEVATOR);9;5081;Low Rise 1-3 Stories;;1;1973;5;1015;1;2;1;1;1;2023-07-24;110000,00
111;101171;Condominium;440104000;8735 N 72ND ST, Unit 304;WHISPERING HILLS (ELEVATOR);9;5081;Low Rise 1-3 Stories;;1;1973;4;863;1;1;1;0;1;2023-08-23;79900,00
112;101183;Condominium;440116000;8727 N 72ND ST, Unit 1;WHISPERING HILLS (WALK-UP);9;5080;Condo BI/TRI Level;;1;1972;3;788;1;1;1;0;1;2023-10-23;60000,00
113;101192;Condominium;440125000;8729 N 72ND ST, Unit 5;WHISPERING HILLS (WALK-UP);9;5080;Condo BI/TRI Level;;1;1972;4;955;1;2;1;1;1;2023-11-27;101000,00
114;101283;Condominium;440216000;7204 W WABASH AV;WHISPERING HILLS (TOWNHOUSE);9;5082;Condo Townhouse;;1,5;1973;4;1210;1;2;1;1;1;2023-03-06;110000,00
115;101416;Condominium;440393000;7016 W SANDPIPER CT, Unit 103;TRINITY COURT CONDOMINIUMS;9;5083;Condo Townhouse;;1;1989;5;1404;1;2;2;0;0;2023-08-25;160000,00
116;101445;Residential;449962111;8730 N 76TH PL;;9;40;Milwaukee Bungalow;Aluminum/Vinyl;1;1928;7;1105;1;3;1;1;15550;2023-05-31;120000,00
117;101465;Residential;449986000;8453 N 68TH ST;;9;40;Colonial;Aluminum/Vinyl;2,0;2006;22;5223;1;8;4;1;36936;2023-05-10;500000,00
118;101484;Manufacturing;690052000;7125 W DEAN RD;;9;6300;Warehouse Building - 1 Story;Concrete Block;1;1992;NULL;41110;2;NULL;0;0;0;2023-11-01;3000000,00
119;101547;Manufacturing;709989210;7939 W TOWER AV;;9;6300;Not Listed (Exm or Mfg);;;NULL;NULL;NULL;0;NULL;0;0;0;2023-01-12;1200000,00
120;101615;Condominium;720349000;8027 N 94TH ST;PARKWAY VILLAGE (1);9;5090;Condo Townhouse;;2,0;1974;5;1138;1;3;1;1;1;2023-03-15;95000,00
121;101631;Condominium;720365000;9378 W BRADLEY RD;PARKWAY VILLAGE (1);9;5090;Condo Townhouse;;2,0;1974;5;1084;1;2;1;1;1;2023-07-27;145000,00
122;101653;Condominium;720387000;9744 W TOWER AV;PARKWAY VILLAGE (1);9;5090;Condo Townhouse;;2,0;1974;5;1138;1;3;1;1;1;2023-09-28;115000,00
123;101665;Residential;720405000;9818 W DARNEL AV;;9;240;Ranch;Aluminum/Vinyl;1;1990;5;1142;1;3;1;1;7624;2023-07-13;240000,00
124;101734;Residential;720475000;9751 W DARNEL AV;;9;240;Ranch;Aluminum/Vinyl;1;1992;5;1143;1;3;2;1;7200;2023-08-25;246000,00
125;101745;Residential;720486000;8265 N 97TH ST;;9;240;Split Level;Aluminum/Vinyl;1;1996;14;1799;1;8;2;0;7200;2023-02-24;300000,00
126;101768;Residential;720509000;9625 W GOODRICH AV;;9;240;Ranch;Aluminum/Vinyl;1;1990;5;1138;1;3;2;1;7349;2023-01-25;280000,00
127;101776;Residential;720517000;9640 W ARCH AV;;9;240;Colonial;Aluminum/Vinyl;2,0;1980;6;1445;1;3;1;1;7620;2023-01-11;240700,00
128;101797;Residential;720538000;8309 N 95TH ST;;9;240;Split Level;Aluminum/Vinyl;1;1992;7;1816;1;4;2;0;7200;2023-08-21;270000,00
129;101819;Residential;720560000;8325 N 93RD ST;;9;240;Colonial;Aluminum/Vinyl;2,0;2000;7;1495;1;3;2;0;7687;2023-10-05;259900,00
130;101840;Residential;720581000;9330 W ARCH AV;;9;240;Ranch;Aluminum/Vinyl;1;1984;5;1077;1;3;1;1;7338;2023-06-12;230000,00
131;101850;Residential;720591000;8324 N 95TH ST;;9;240;Ranch;Aluminum/Vinyl;1;1995;5;942;1;3;1;0;8383;2023-08-14;229000,00
132;101866;Residential;720607000;9308 W GOODRICH AV;;9;240;Split Level;Aluminum/Vinyl;1;1990;7;1751;1;4;2;0;7367;2023-04-14;285000,00
133;101891;Residential;720632000;9631 W ARCH AV;;9;240;Ranch;Aluminum/Vinyl;1;1980;4;912;1;2;1;0;7200;2023-12-11;189000,00
134;101892;Residential;720633000;9625 W ARCH AV;;9;240;Ranch;Aluminum/Vinyl;1;1980;5;1077;1;3;1;1;7200;2023-02-12;239000,00
135;101912;Condominium;720661000;8084 N 94TH ST;PARKWAY VILLAGE PHASE II & III;9;5091;Low Rise 1-3 Stories;;2,0;1982;6;1150;1;3;1;1;1;2023-08-08;135000,00
136;101914;Condominium;720663000;8092 N 94TH ST;PARKWAY VILLAGE PHASE II & III;9;5091;Low Rise 1-3 Stories;;2,0;1982;5;1067;1;3;1;1;1;2023-05-18;110000,00
137;101926;Condominium;720675000;9354 W TERRA CT;PARKWAY VILLAGE PHASE II & III;9;5091;Low Rise 1-3 Stories;;1;1990;4;922;1;2;1;1;1;2023-08-28;159000,00
138;101947;Condominium;720696000;9237 W GREEN VIEW CT;PARKWAY VILLAGE PHASE II & III;9;5091;Low Rise 1-3 Stories;;2,0;1982;4;1067;1;2;1;1;1;2023-12-12;150000,00
139;101948;Condominium;720697000;9243 W GREEN VIEW CT;PARKWAY VILLAGE PHASE II & III;9;5091;Low Rise 1-3 Stories;;2,0;1982;NULL;1067;1;NULL;1;1;1;2023-06-29;99900,00
140;101976;Condominium;720742000;9534 W TOWER AV;PARKWAY VILLAGE PHASE II & III;9;5091;Low Rise 1-3 Stories;;1;1986;5;981;1;2;2;0;1;2023-09-19;179000,00
141;101981;Condominium;720751100;8187 N 96TH CT;PARKWAY VILLAGE PHASE II & III;9;5091;Low Rise 1-3 Stories;;1;1986;4;991;1;2;2;0;1;2023-03-06;117000,00
142;102044;Condominium;720835000;8086 N DENMARK CT;PARKWAY VILLAGE (PHASE IV);9;5093;Condo Ranch;;1;1992;4;997;1;2;2;1;1;2023-12-21;190000,00
143;102071;Residential;730002000;8081 N 105TH ST;;9;240;Ranch;Brick;1;1968;7;1796;1;3;2;0;10000;2023-01-17;275000,00
144;102100;Residential;730031000;8160 N JOSEPH AV;;9;240;Ranch;Aluminum/Vinyl;1;1971;7;1689;1;5;3;1;9000;2023-06-16;370700,00
145;102105;Residential;730036000;8143 N PINGREE AV;;9;240;Ranch;Aluminum/Vinyl;1;1971;6;1200;1;4;1;1;9000;2023-06-30;215000,00
146;102126;Residential;730057000;10344 W TOWER AV;;9;240;Ranch;Aluminum/Vinyl;1;1969;6;1534;1;3;1;2;12865;2023-01-20;199900,00
147;102139;Residential;730070000;10107 W ARCH AV;;9;240;Ranch;Aluminum/Vinyl;1;1971;6;1200;1;4;1;1;9129;2023-05-26;294000,00
148;102173;Residential;730104000;10109 W TOWER AV;;9;240;Ranch;Aluminum/Vinyl;1;1966;7;1492;1;3;1;1;9600;2023-06-26;175000,00
149;102179;Residential;730110000;8139 N 100TH ST;;9;240;Ranch;Aluminum/Vinyl;1;1971;6;1210;1;4;2;0;9800;2023-08-04;300000,00
150;102188;Residential;730119000;10004 W TERRA AV;;9;240;Ranch;Aluminum/Vinyl;1;1965;6;1166;1;3;1;1;9973;2023-04-03;230000,00
151;102197;Residential;730128000;8118 N CELINA ST;;9;240;Ranch;Aluminum/Vinyl;1;1966;7;1285;1;3;1;1;9472;2023-11-21;250000,00
152;102258;Residential;730189000;10445 W GOODRICH AV;;9;240;Ranch;Aluminum/Vinyl;1;1965;6;1316;1;3;1;1;9000;2023-09-27;323000,00
153;102275;Residential;730207000;8279 N ANN ST;;9;240;Ranch;Asphalt/Other;1;1967;6;1331;1;3;1;1;9545;2023-08-30;225000,00
