,list-card-link href,list-card-addr,ADDRESS,city,state,Metro,zip,price,sq ft,acreage,pricesqft,list-card-label,list-card-label 2,list-card-variable-text,walkscore,description,LATITUDE,LONGITUDE,list-card-link src,list-card-save-content
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""0 Beverly Glen Blvd, Bel Air, CA 90077"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""0 Beverly Glen Blvd"",""addressLocality"":""Bel Air"",""addressRegion"":""CA"",""postalCode"":""90077""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.092221,""longitude"":-118.438116},""url"":""https://www.zillow.com/homedetails/0-Beverly-Glen-Blvd-Bel-Air-CA-90077/2140140225_zpid/""}",https://www.zillow.com/homedetails/0-Beverly-Glen-Blvd-Bel-Air-CA-90077/2140140225_zpid/,"0 Beverly Glen Blvd, Bel Air, CA 90077",Beverly Glen Blvd,Bel Air,CA,Los Angeles,90077,24500,"15,682",0.36,$1.56,acres lot,Sold,Sold 04/01/2019,14,Car-Dependent,34.092221,-118.438116,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""10 N Hollybush Ln, Bel Air, CA 90077"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""10 N Hollybush Ln"",""addressLocality"":""Bel Air"",""addressRegion"":""CA"",""postalCode"":""90077""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.094421,""longitude"":-118.440415},""url"":""https://www.zillow.com/homedetails/10-N-Hollybush-Ln-Bel-Air-CA-90077/2082108172_zpid/""}",https://www.zillow.com/homedetails/10-N-Hollybush-Ln-Bel-Air-CA-90077/2082108172_zpid/,"10 N Hollybush Ln, Bel Air, CA 90077",10 N Hollybush Ln,Bel Air,CA,Los Angeles,90077,60000,"15,682",0.36,$3.83,acres lot,Sold,Sold 07/15/2020,16,Car-Dependent,34.094421,-118.440415,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""248-07 87th Dr, Bellerose, NY 11426"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,950""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""248-07 87th Dr"",""addressLocality"":""Bellerose"",""addressRegion"":""NY"",""postalCode"":""11426""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.729385,""longitude"":-73.717216},""url"":""https://www.zillow.com/homedetails/248-07-87th-Dr-Bellerose-NY-11426/2082941855_zpid/""}",https://www.zillow.com/homedetails/248-07-87th-Dr-Bellerose-NY-11426/2082941855_zpid/,"248-07 87th Dr, Bellerose, NY 11426",248-07 87th Dr,Bellerose,NY,New York,11426,370000,"4,000",0.09,$92.50,sqft lot,,Sold 02/06/2019,84,Very Walkable,40.729385,-73.717216,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8344 242nd St, Bellerose, NY 11426"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""980""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8344 242nd St"",""addressLocality"":""Bellerose"",""addressRegion"":""NY"",""postalCode"":""11426""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":40.734332,""longitude"":-73.725037},""url"":""https://www.zillow.com/homedetails/8344-242nd-St-Bellerose-NY-11426/32090375_zpid/""}",https://www.zillow.com/homedetails/8344-242nd-St-Bellerose-NY-11426/32090375_zpid/,"8344 242nd St, Bellerose, NY 11426",8344 242nd St,Bellerose,NY,New York,11426,560000,"3,998",0.09,$140.07,sqft lot,,Sold 10/24/2019,70,Somewhat Walkable,40.734332,-73.725037,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3546 W Marginal Way SW, Bellevue, WA 98106"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3546 W Marginal Way SW"",""addressLocality"":""Bellevue"",""addressRegion"":""WA"",""postalCode"":""98106""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":47.572237,""longitude"":-122.357583},""url"":""https://www.zillow.com/homedetails/3546-W-Marginal-Way-SW-Bellevue-WA-98106/96646264_zpid/""}",https://www.zillow.com/homedetails/3546-W-Marginal-Way-SW-Bellevue-WA-98106/96646264_zpid/,"3546 W Marginal Way SW, Bellevue, WA 98106",3546 W Marginal Way SW,Bellevue,WA,Seattle,98106,4350000,"44,867",1.03,$96.95,acres lot,,Sold 06/28/2019,44,Car-Dependent,47.572237,-122.357583,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1421 Claridge Dr, Beverly Hills, CA 90210"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1421 Claridge Dr"",""addressLocality"":""Beverly Hills"",""addressRegion"":""CA"",""postalCode"":""90210""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.096055,""longitude"":-118.420762},""url"":""https://www.zillow.com/homedetails/1421-Claridge-Dr-Beverly-Hills-CA-90210/249436179_zpid/""}",https://www.zillow.com/homedetails/1421-Claridge-Dr-Beverly-Hills-CA-90210/249436179_zpid/,"1421 Claridge Dr, Beverly Hills, CA 90210",1421 Claridge Dr,Beverly Hills,CA,Los Angeles,90210,172500,"6,899",0.16,$25.00,sqft lot,Sold,Sold 09/25/2019,1,Car-Dependent,34.096055,-118.420762,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1427 Claridge Dr, Beverly Hills, CA 90210"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1427 Claridge Dr"",""addressLocality"":""Beverly Hills"",""addressRegion"":""CA"",""postalCode"":""90210""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.096267,""longitude"":-118.420643},""url"":""https://www.zillow.com/homedetails/1427-Claridge-Dr-Beverly-Hills-CA-90210/2080084533_zpid/""}",https://www.zillow.com/homedetails/1427-Claridge-Dr-Beverly-Hills-CA-90210/2080084533_zpid/,"1427 Claridge Dr, Beverly Hills, CA 90210",1427 Claridge Dr,Beverly Hills,CA,Los Angeles,90210,172500,"6,899",0.16,$25.00,sqft lot,Sold,Sold 09/25/2019,1,Car-Dependent,34.096267,-118.420643,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""9836 Portola Dr, Beverly Hills, CA 90210"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""9836 Portola Dr"",""addressLocality"":""Beverly Hills"",""addressRegion"":""CA"",""postalCode"":""90210""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.110008,""longitude"":-118.433059},""url"":""https://www.zillow.com/homedetails/9836-Portola-Dr-Beverly-Hills-CA-90210/95529803_zpid/""}",https://www.zillow.com/homedetails/9836-Portola-Dr-Beverly-Hills-CA-90210/95529803_zpid/,"9836 Portola Dr, Beverly Hills, CA 90210",9836 Portola Dr,Beverly Hills,CA,Los Angeles,90210,330000,"7,623",0.18,$43.29,sqft lot,Sold,Sold 03/03/2020,1,Car-Dependent,34.110008,-118.433059,https://photos.zillowstatic.com/fp/6a9990f387d8e167f5368f2cf16d63b1-p_e.jpg,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2526 Benedict Canyon Dr, Beverly Hills, CA 90210"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2526 Benedict Canyon Dr"",""addressLocality"":""Beverly Hills"",""addressRegion"":""CA"",""postalCode"":""90210""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.1173,""longitude"":-118.435201},""url"":""https://www.zillow.com/homedetails/2526-Benedict-Canyon-Dr-Beverly-Hills-CA-90210/2105267500_zpid/""}",https://www.zillow.com/homedetails/2526-Benedict-Canyon-Dr-Beverly-Hills-CA-90210/2105267500_zpid/,"2526 Benedict Canyon Dr, Beverly Hills, CA 90210",2526 Benedict Canyon Dr,Beverly Hills,CA,Los Angeles,90210,700000,"25,265",0.58,$27.71,acres lot,Sold,Sold 05/26/2020,6,Car-Dependent,34.1173,-118.435201,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2232 Benedict Canyon Dr, Beverly Hills, CA 90210"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2232 Benedict Canyon Dr"",""addressLocality"":""Beverly Hills"",""addressRegion"":""CA"",""postalCode"":""90210""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.110809,""longitude"":-118.435135},""url"":""https://www.zillow.com/homedetails/2232-Benedict-Canyon-Dr-Beverly-Hills-CA-90210/250219232_zpid/""}",https://www.zillow.com/homedetails/2232-Benedict-Canyon-Dr-Beverly-Hills-CA-90210/250219232_zpid/,"2232 Benedict Canyon Dr, Beverly Hills, CA 90210",2232 Benedict Canyon Dr,Beverly Hills,CA,Los Angeles,90210,880000,"15,246",0.35,$57.72,acres lot,Sold,Sold 09/03/2019,4,Car-Dependent,34.110809,-118.435135,https://photos.zillowstatic.com/fp/3ac6644c61444ec55b25354aff339bac-p_e.jpg,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1420 Bella Dr, Beverly Hills, CA 90210"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1420 Bella Dr"",""addressLocality"":""Beverly Hills"",""addressRegion"":""CA"",""postalCode"":""90210""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.095847,""longitude"":-118.43397},""url"":""https://www.zillow.com/homedetails/1420-Bella-Dr-Beverly-Hills-CA-90210/250218850_zpid/""}",https://www.zillow.com/homedetails/1420-Bella-Dr-Beverly-Hills-CA-90210/250218850_zpid/,"1420 Bella Dr, Beverly Hills, CA 90210",1420 Bella Dr,Beverly Hills,CA,Los Angeles,90210,1500000,"84,071",1.93,$17.84,acres lot,Sold,Sold 04/27/2020,0,Car-Dependent,34.095847,-118.43397,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1312 Beverly Grove Pl, Beverly Hills, CA 90210"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""5,907""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1312 Beverly Grove Pl"",""addressLocality"":""Beverly Hills"",""addressRegion"":""CA"",""postalCode"":""90210""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.095875,""longitude"":-118.425734},""url"":""https://www.zillow.com/homedetails/1312-Beverly-Grove-Pl-Beverly-Hills-CA-90210/20523634_zpid/""}",https://www.zillow.com/homedetails/1312-Beverly-Grove-Pl-Beverly-Hills-CA-90210/20523634_zpid/,"1312 Beverly Grove Pl, Beverly Hills, CA 90210",1312 Beverly Grove Pl,Beverly Hills,CA,Los Angeles,90210,1890000,"19,166",0.44,$98.61,acres lot,Sold,Sold 01/31/2019,1,Car-Dependent,34.095875,-118.425734,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1785 Summitridge Drive, Beverly Hills, CA 90210"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1785 Summitridge Drive"",""addressLocality"":""Beverly Hills"",""addressRegion"":""CA"",""postalCode"":""90210""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.102443,""longitude"":-118.420179},""url"":""https://www.zillow.com/homedetails/1785-Summitridge-Drive-Beverly-Hills-CA-90210/2078300993_zpid/""}",https://www.zillow.com/homedetails/1785-Summitridge-Drive-Beverly-Hills-CA-90210/2078300993_zpid/,"1785 Summitridge Drive, Beverly Hills, CA 90210",1785 Summitridge Drive,Beverly Hills,CA,Los Angeles,90210,13500000,"76,666",1.76,$176.09,acres lot,Sold,Sold 01/09/2020,0,Car-Dependent,34.102443,-118.420179,"https://maps.googleapis.com/maps/api/streetview?location=34.102443,-118.420179&size=575x242&key=AIzaSyBot9JtFX4Hqs-Ri6N3A8K1Rl5XZD3ssyI&signature=3Td884A3AXEHBLWSiZpfrmxoUOk=",
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1357 Laurel Way, Beverly Hills, CA 90210"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""12,000""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1357 Laurel Way"",""addressLocality"":""Beverly Hills"",""addressRegion"":""CA"",""postalCode"":""90210""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.096054,""longitude"":-118.41808},""url"":""https://www.zillow.com/homedetails/1357-Laurel-Way-Beverly-Hills-CA-90210/20523357_zpid/""}",https://www.zillow.com/homedetails/1357-Laurel-Way-Beverly-Hills-CA-90210/20523357_zpid/,"1357 Laurel Way, Beverly Hills, CA 90210",1357 Laurel Way,Beverly Hills,CA,Los Angeles,90210,18000000,"22,216",0.51,$810.24,acres lot,Sold,Sold 11/15/2019,3,Car-Dependent,34.096054,-118.41808,https://photos.zillowstatic.com/fp/dccaf0cafcb8c8a97cc8f6177895a82e-p_e.jpg,
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1620 Summitridge Dr, Beverly Hills, CA 90210"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":null},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1620 Summitridge Dr"",""addressLocality"":""Beverly Hills"",""addressRegion"":""CA"",""postalCode"":""90210""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":34.099913,""longitude"":-118.42013},""url"":""https://www.zillow.com/homedetails/1620-Summitridge-Dr-Beverly-Hills-CA-90210/2097342010_zpid/""}",https://www.zillow.com/homedetails/1620-Summitridge-Dr-Beverly-Hills-CA-90210/2097342010_zpid/,"1620 Summitridge Dr, Beverly Hills, CA 90210",1620 Summitridge Dr,Beverly Hills,CA,Los Angeles,90210,2450000,"14,810",0.34,$165.42,acres lot,Sold,Sold 02/07/2019,0,Car-Dependent,34.099913,-118.42013,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",
